Round,ops_per_sec,micros_per_op,disable_auto_compactions,target_file_size_base,block_size,write_buffer_size,level0_stop_writes_trigger,max_background_compactions
0,37884.0,26.396,1.0,88035279.0,8192.0,585.0,892.0,175.0
1,42582.0,23.483,1.0,88035279.0,8192.0,585.0,892.0,175.0
2,35947.0,27.818,1.0,88035279.0,8192.0,585.0,892.0,175.0
3,39130.0,25.555,1.0,119207016.0,32768.0,972.0,186.0,19.0
4,20498.0,48.783,1.0,119207016.0,32768.0,972.0,186.0,19.0
5,23762.0,42.083,1.0,119207016.0,32768.0,972.0,186.0,19.0
6,14939.0,66.937,0.0,36923107.0,131072.0,528.0,32.0,236.0
7,6942.0,144.034,0.0,36923107.0,131072.0,528.0,32.0,236.0
8,11542.0,86.632,0.0,36923107.0,131072.0,528.0,32.0,236.0
9,7842.0,127.511,0.0,67838531.0,65536.0,129.0,426.0,239.0
10,8413.0,118.849,0.0,67838531.0,65536.0,129.0,426.0,239.0
11,8533.0,117.182,0.0,67838531.0,65536.0,129.0,426.0,239.0
12,19047.0,52.5,1.0,73194978.0,131072.0,85.0,10.0,197.0
13,18980.0,52.684,1.0,73194978.0,131072.0,85.0,10.0,197.0
14,16277.0,61.433,1.0,73194978.0,131072.0,85.0,10.0,197.0
15,14377.0,69.552,1.0,100288174.0,16384.0,567.0,215.0,229.0
16,10083.0,99.172,1.0,100288174.0,16384.0,567.0,215.0,229.0
17,9624.0,103.897,1.0,100288174.0,16384.0,567.0,215.0,229.0
18,17348.0,57.64,1.0,128958558.0,8192.0,649.0,83.0,123.0
19,12156.0,82.263,1.0,128958558.0,8192.0,649.0,83.0,123.0
20,9867.0,101.343,1.0,128958558.0,8192.0,649.0,83.0,123.0
21,11644.0,85.879,0.0,60250090.0,131072.0,179.0,12.0,255.0
22,11000.0,90.904,0.0,60250090.0,131072.0,179.0,12.0,255.0
23,8111.0,123.284,0.0,60250090.0,131072.0,179.0,12.0,255.0
24,10096.0,99.047,1.0,45778679.0,32768.0,493.0,879.0,93.0
25,9003.0,111.067,1.0,45778679.0,32768.0,493.0,879.0,93.0
26,25489.0,39.231,1.0,45778679.0,32768.0,493.0,879.0,93.0
27,9263.0,107.947,1.0,73146916.0,131072.0,126.0,965.0,165.0
28,20807.0,48.059,1.0,73146916.0,131072.0,126.0,965.0,165.0
29,10717.0,93.308,1.0,73146916.0,131072.0,126.0,965.0,165.0
30,24651.0,40.564,1.0,111625951.0,4096.0,170.0,181.0,174.0
31,23530.0,42.497,1.0,111625951.0,4096.0,170.0,181.0,174.0
32,16125.0,62.013,1.0,111625951.0,4096.0,170.0,181.0,174.0
