Round,ops_per_sec,micros_per_op,disable_auto_compactions,target_file_size_base,block_size,write_buffer_size,max_write_buffer_number
0,36464.0,27.424,0.0,128292442.0,65536.0,600.0,8.0
1,20234.0,49.42,0.0,128292442.0,65536.0,600.0,8.0
2,31461.0,31.784,0.0,128292442.0,65536.0,600.0,8.0
3,32097.0,31.154,1.0,120261876.0,131072.0,839.0,5.0
4,43786.0,22.838,1.0,120261876.0,131072.0,839.0,5.0
5,34856.0,28.688,1.0,120261876.0,131072.0,839.0,5.0
6,5630.0,177.619,0.0,80506060.0,8192.0,662.0,4.0
7,8411.0,118.879,0.0,80506060.0,8192.0,662.0,4.0
8,8110.0,123.29,0.0,80506060.0,8192.0,662.0,4.0
9,18965.0,52.727,0.0,82309724.0,16384.0,868.0,6.0
10,11998.0,83.343,0.0,82309724.0,16384.0,868.0,6.0
11,16846.0,59.358,0.0,82309724.0,16384.0,868.0,6.0
12,22855.0,43.752,1.0,120768562.0,8192.0,241.0,7.0
13,18195.0,54.958,1.0,120768562.0,8192.0,241.0,7.0
14,13209.0,75.705,1.0,120768562.0,8192.0,241.0,7.0
15,18525.0,53.98,1.0,66012330.0,65536.0,487.0,5.0
16,18760.0,53.303,1.0,66012330.0,65536.0,487.0,5.0
17,11443.0,87.389,1.0,66012330.0,65536.0,487.0,5.0
18,23640.0,42.3,1.0,110072449.0,131072.0,281.0,8.0
19,15832.0,63.159,1.0,110072449.0,131072.0,281.0,8.0
20,18653.0,53.608,1.0,110072449.0,131072.0,281.0,8.0
21,15567.0,64.234,0.0,99443751.0,32768.0,282.0,3.0
22,10133.0,98.683,0.0,99443751.0,32768.0,282.0,3.0
23,11516.0,86.83,0.0,99443751.0,32768.0,282.0,3.0
24,22503.0,44.437,0.0,49738513.0,16384.0,725.0,5.0
25,15240.0,65.614,0.0,49738513.0,16384.0,725.0,5.0
26,15427.0,64.817,0.0,49738513.0,16384.0,725.0,5.0
27,17712.0,56.458,1.0,122820509.0,4096.0,930.0,6.0
28,17401.0,57.465,1.0,122820509.0,4096.0,930.0,6.0
29,16138.0,61.963,1.0,122820509.0,4096.0,930.0,6.0
30,6582.0,151.912,1.0,109678406.0,4096.0,168.0,6.0
31,6583.0,151.888,1.0,109678406.0,4096.0,168.0,6.0
32,7603.0,131.514,1.0,109678406.0,4096.0,168.0,6.0
33,23010.0,43.458,0.0,59051542.0,4096.0,702.0,4.0
34,14825.0,67.452,0.0,59051542.0,4096.0,702.0,4.0
