Round,ops_per_sec,micros_per_op,disable_auto_compactions,target_file_size_base,block_size,write_buffer_size,max_write_buffer_number
0,2403545.0,0.416,0.0,95353095.0,65536.0,820.0,3.0
1,2482171.0,0.403,0.0,95353095.0,65536.0,820.0,3.0
2,2461768.0,0.406,0.0,95353095.0,65536.0,820.0,3.0
3,2295120.0,0.436,1.0,92481670.0,65536.0,328.0,7.0
4,2359041.0,0.424,1.0,92481670.0,65536.0,328.0,7.0
5,2333542.0,0.428,1.0,92481670.0,65536.0,328.0,7.0
6,1987052.0,0.503,1.0,45123908.0,16384.0,569.0,8.0
7,1741956.0,0.574,1.0,45123908.0,16384.0,569.0,8.0
8,1705151.0,0.586,1.0,45123908.0,16384.0,569.0,8.0
9,2567763.0,0.389,0.0,33830053.0,32768.0,831.0,3.0
10,1899291.0,0.526,0.0,33830053.0,32768.0,831.0,3.0
11,2276141.0,0.439,0.0,33830053.0,32768.0,831.0,3.0
12,2150274.0,0.465,0.0,41291314.0,65536.0,790.0,3.0
13,2360868.0,0.424,0.0,41291314.0,65536.0,790.0,3.0
14,2005929.0,0.498,0.0,41291314.0,65536.0,790.0,3.0
15,2334653.0,0.428,1.0,115453960.0,4096.0,763.0,7.0
16,2427437.0,0.412,1.0,115453960.0,4096.0,763.0,7.0
17,2261087.0,0.442,1.0,115453960.0,4096.0,763.0,7.0
18,2214976.0,0.451,1.0,38160502.0,65536.0,106.0,6.0
19,1970330.0,0.507,1.0,38160502.0,65536.0,106.0,6.0
20,2379394.0,0.42,1.0,38160502.0,65536.0,106.0,6.0
21,2250761.0,0.444,1.0,80567634.0,16384.0,925.0,7.0
22,2329031.0,0.429,1.0,80567634.0,16384.0,925.0,7.0
23,2313652.0,0.432,1.0,80567634.0,16384.0,925.0,7.0
24,2238663.0,0.447,0.0,73317296.0,131072.0,706.0,8.0
25,2433717.0,0.411,0.0,73317296.0,131072.0,706.0,8.0
26,2225174.0,0.449,0.0,73317296.0,131072.0,706.0,8.0
27,2305773.0,0.434,0.0,85949547.0,8192.0,975.0,2.0
28,2469373.0,0.405,0.0,85949547.0,8192.0,975.0,2.0
29,2604797.0,0.384,0.0,85949547.0,8192.0,975.0,2.0
30,2556753.0,0.391,0.0,57029098.0,8192.0,932.0,8.0
31,2422539.0,0.413,0.0,57029098.0,8192.0,932.0,8.0
32,2451941.0,0.408,0.0,57029098.0,8192.0,932.0,8.0
33,2440452.0,0.41,0.0,96775177.0,32768.0,700.0,5.0
34,2380368.0,0.42,0.0,96775177.0,32768.0,700.0,5.0
35,2168957.0,0.461,0.0,96775177.0,32768.0,700.0,5.0
36,2114272.0,0.473,1.0,66720099.0,65536.0,669.0,6.0
37,2230892.0,0.448,1.0,66720099.0,65536.0,669.0,6.0
38,2539431.0,0.394,1.0,66720099.0,65536.0,669.0,6.0
39,2129394.0,0.47,0.0,114053256.0,131072.0,819.0,2.0
40,2357211.0,0.424,0.0,114053256.0,131072.0,819.0,2.0
41,2219819.0,0.45,0.0,114053256.0,131072.0,819.0,2.0
42,2414368.0,0.414,0.0,101382643.0,16384.0,800.0,6.0
43,2564424.0,0.39,0.0,101382643.0,16384.0,800.0,6.0
44,2311139.0,0.433,0.0,101382643.0,16384.0,800.0,6.0
45,2346729.0,0.426,0.0,98953714.0,32768.0,590.0,8.0
46,2119726.0,0.472,0.0,98953714.0,32768.0,590.0,8.0
47,1902041.0,0.526,0.0,98953714.0,32768.0,590.0,8.0
48,2367592.0,0.422,0.0,121981018.0,16384.0,921.0,8.0
49,2024414.0,0.494,0.0,121981018.0,16384.0,921.0,8.0
50,2443285.0,0.409,0.0,121981018.0,16384.0,921.0,8.0
51,2449731.0,0.408,1.0,40144584.0,65536.0,294.0,2.0
52,2302831.0,0.434,1.0,40144584.0,65536.0,294.0,2.0
53,2216454.0,0.451,1.0,40144584.0,65536.0,294.0,2.0
54,2359525.0,0.424,0.0,118441146.0,8192.0,728.0,6.0
55,2530511.0,0.395,0.0,118441146.0,8192.0,728.0,6.0
56,2376877.0,0.421,0.0,118441146.0,8192.0,728.0,6.0
57,2567044.0,0.389,0.0,79939408.0,4096.0,371.0,8.0
58,2398438.0,0.417,0.0,79939408.0,4096.0,371.0,8.0
59,2394773.0,0.418,0.0,79939408.0,4096.0,371.0,8.0
60,2535181.0,0.394,1.0,95406752.0,8192.0,936.0,8.0
61,2336656.0,0.428,1.0,95406752.0,8192.0,936.0,8.0
62,2196059.0,0.455,1.0,95406752.0,8192.0,936.0,8.0
63,2165402.0,0.462,1.0,69485756.0,8192.0,898.0,7.0
64,2349513.0,0.426,1.0,69485756.0,8192.0,898.0,7.0
65,2344259.0,0.427,1.0,69485756.0,8192.0,898.0,7.0
66,2343358.0,0.427,0.0,116325619.0,65536.0,256.0,5.0
67,2534455.0,0.394,0.0,116325619.0,65536.0,256.0,5.0
68,2301782.0,0.434,0.0,116325619.0,65536.0,256.0,5.0
69,2361269.0,0.423,1.0,89319091.0,131072.0,940.0,3.0
70,2454921.0,0.407,1.0,89319091.0,131072.0,940.0,3.0
71,2107428.0,0.474,1.0,89319091.0,131072.0,940.0,3.0
72,2440196.0,0.41,0.0,33554432.0,8192.0,64.0,8.0
73,2344066.0,0.427,0.0,33554432.0,8192.0,64.0,8.0
74,2526158.0,0.396,0.0,33554432.0,8192.0,64.0,8.0
75,2426053.0,0.412,0.0,33554432.0,8192.0,64.0,8.0
76,2436320.0,0.41,0.0,33554432.0,8192.0,64.0,8.0
