Round,ops_per_sec,micros_per_op,disable_auto_compactions,target_file_size_base,block_size,write_buffer_size,max_write_buffer_number
0,302.0,3280.0,0.0,84539345.0,65536.0,111.0,7.0
1,276.0,3578.0,0.0,84539345.0,65536.0,111.0,7.0
2,295.0,3351.0,0.0,84539345.0,65536.0,111.0,7.0
3,293.0,3361.0,1.0,58088221.0,8192.0,775.0,7.0
4,317.0,3107.0,1.0,58088221.0,8192.0,775.0,7.0
5,348.0,2838.0,1.0,58088221.0,8192.0,775.0,7.0
6,330.0,2991.0,0.0,98742312.0,4096.0,678.0,8.0
7,335.0,2952.0,0.0,98742312.0,4096.0,678.0,8.0
8,329.0,3006.0,0.0,98742312.0,4096.0,678.0,8.0
9,315.0,3129.0,1.0,72769882.0,32768.0,858.0,5.0
10,365.0,2703.0,1.0,72769882.0,32768.0,858.0,5.0
11,327.0,2988.0,1.0,72769882.0,32768.0,858.0,5.0
12,331.0,2982.0,0.0,105262816.0,131072.0,578.0,3.0
13,336.0,2941.0,0.0,105262816.0,131072.0,578.0,3.0
14,336.0,2928.0,0.0,105262816.0,131072.0,578.0,3.0
15,276.0,3577.0,0.0,58353422.0,65536.0,373.0,7.0
16,368.0,2684.0,0.0,58353422.0,65536.0,373.0,7.0
17,327.0,3019.0,0.0,58353422.0,65536.0,373.0,7.0
18,330.0,2992.0,0.0,91678909.0,8192.0,306.0,6.0
19,339.0,2917.0,0.0,91678909.0,8192.0,306.0,6.0
20,331.0,2989.0,0.0,91678909.0,8192.0,306.0,6.0
21,270.0,3653.0,1.0,129671348.0,16384.0,723.0,4.0
22,332.0,2976.0,1.0,129671348.0,16384.0,723.0,4.0
23,334.0,2964.0,1.0,129671348.0,16384.0,723.0,4.0
24,318.0,3102.0,1.0,103707562.0,8192.0,1002.0,3.0
25,342.0,2891.0,1.0,103707562.0,8192.0,1002.0,3.0
26,316.0,3121.0,1.0,103707562.0,8192.0,1002.0,3.0
27,305.0,3234.0,0.0,126915649.0,131072.0,325.0,6.0
28,346.0,2855.0,0.0,126915649.0,131072.0,325.0,6.0
29,353.0,2801.0,0.0,126915649.0,131072.0,325.0,6.0
30,342.0,2892.0,0.0,100561573.0,8192.0,419.0,7.0
31,356.0,2772.0,0.0,100561573.0,8192.0,419.0,7.0
32,341.0,2849.0,0.0,100561573.0,8192.0,419.0,7.0
33,340.0,2895.0,1.0,83826952.0,131072.0,530.0,3.0
34,323.0,3054.0,1.0,83826952.0,131072.0,530.0,3.0
35,345.0,2861.0,1.0,83826952.0,131072.0,530.0,3.0
36,345.0,2866.0,1.0,64095689.0,131072.0,409.0,7.0
37,298.0,3298.0,1.0,64095689.0,131072.0,409.0,7.0
38,280.0,3513.0,1.0,64095689.0,131072.0,409.0,7.0
39,285.0,3466.0,1.0,101024311.0,4096.0,172.0,5.0
40,375.0,2633.0,1.0,101024311.0,4096.0,172.0,5.0
41,327.0,3020.0,1.0,101024311.0,4096.0,172.0,5.0
42,326.0,3027.0,0.0,105461101.0,65536.0,678.0,4.0
43,341.0,2898.0,0.0,105461101.0,65536.0,678.0,4.0
44,326.0,3031.0,0.0,105461101.0,65536.0,678.0,4.0
45,298.0,3308.0,0.0,76905788.0,4096.0,538.0,2.0
46,326.0,3027.0,0.0,76905788.0,4096.0,538.0,2.0
47,337.0,2932.0,0.0,76905788.0,4096.0,538.0,2.0
48,306.0,3226.0,1.0,67447528.0,32768.0,495.0,2.0
49,337.0,2926.0,1.0,67447528.0,32768.0,495.0,2.0
50,310.0,3170.0,1.0,67447528.0,32768.0,495.0,2.0
51,303.0,3261.0,0.0,108431085.0,8192.0,355.0,8.0
52,363.0,2722.0,0.0,108431085.0,8192.0,355.0,8.0
53,349.0,2821.0,0.0,108431085.0,8192.0,355.0,8.0
54,330.0,2985.0,0.0,126906708.0,32768.0,201.0,5.0
55,352.0,2806.0,0.0,126906708.0,32768.0,201.0,5.0
56,313.0,3153.0,0.0,126906708.0,32768.0,201.0,5.0
57,282.0,3493.0,1.0,110421315.0,65536.0,263.0,7.0
58,328.0,3001.0,1.0,110421315.0,65536.0,263.0,7.0
59,337.0,2925.0,1.0,110421315.0,65536.0,263.0,7.0
60,334.0,2960.0,1.0,45161538.0,4096.0,384.0,6.0
61,337.0,2925.0,1.0,45161538.0,4096.0,384.0,6.0
62,291.0,3390.0,1.0,45161538.0,4096.0,384.0,6.0
63,284.0,3471.0,1.0,126906365.0,131072.0,319.0,6.0
64,334.0,2941.0,1.0,126906365.0,131072.0,319.0,6.0
65,288.0,3404.0,1.0,126906365.0,131072.0,319.0,6.0
66,305.0,3243.0,1.0,129346597.0,65536.0,574.0,4.0
67,344.0,2861.0,1.0,129346597.0,65536.0,574.0,4.0
68,266.0,3716.0,1.0,129346597.0,65536.0,574.0,4.0
69,298.0,3311.0,1.0,55179831.0,131072.0,822.0,4.0
70,336.0,2935.0,1.0,55179831.0,131072.0,822.0,4.0
71,332.0,2928.0,1.0,55179831.0,131072.0,822.0,4.0
72,270.0,3659.0,0.0,33554432.0,8192.0,64.0,7.0
73,340.0,2898.0,0.0,33554432.0,8192.0,64.0,7.0
74,320.0,3087.0,0.0,33554432.0,8192.0,64.0,7.0
75,315.0,3136.0,0.0,33554432.0,8192.0,64.0,7.0
76,326.0,3034.0,0.0,33554432.0,8192.0,64.0,7.0
77,309.0,3196.0,0.0,33554432.0,8192.0,64.0,7.0
78,294.0,3359.0,0.0,33554432.0,8192.0,64.0,8.0
79,201.0,4882.0,0.0,33554432.0,8192.0,64.0,8.0
80,285.0,3455.0,0.0,33554432.0,8192.0,64.0,7.0
81,296.0,3327.0,0.0,33554432.0,8192.0,64.0,7.0
82,287.0,3445.0,0.0,33554432.0,8192.0,64.0,7.0
83,252.0,3898.0,0.0,33554432.0,8192.0,64.0,7.0
84,302.0,3266.0,0.0,33554432.0,8192.0,64.0,7.0
85,383.0,2574.0,0.0,33554432.0,8192.0,64.0,7.0
86,333.0,2966.0,0.0,33554432.0,8192.0,64.0,7.0
87,311.0,3169.0,0.0,33554432.0,8192.0,64.0,7.0
88,319.0,3088.0,0.0,33554432.0,8192.0,64.0,7.0
89,318.0,3100.0,0.0,33554432.0,8192.0,64.0,7.0
90,293.0,3369.0,0.0,33554432.0,8192.0,64.0,7.0
91,314.0,3142.0,0.0,33554432.0,8192.0,64.0,7.0
