Block Size,ops_per_sec,micros_per_op
1024,33291,30.037
1228,27886,35.858
1432,38269,26.13
1636,34620,28.884
1840,34186,29.251
2044,41702,23.979
2248,32811,30.477
2452,36865,27.125
2656,36557,27.354
2860,41102,24.328
3064,34148,29.283
3268,30190,33.122
3472,34600,28.901
3676,44749,22.346
3880,48388,20.665
4084,45517,21.969
4288,44022,22.715
4492,38459,26.001
4696,22673,44.105
4900,21651,46.185
5104,17971,55.643
5308,34391,29.076
5512,20551,48.659
5716,24486,40.838
5920,16913,59.125
6124,19451,51.408
6328,6929,144.318
6532,26059,38.373
6736,15802,63.282
6940,13805,72.435
7144,12016,83.221
7348,31567,31.677
7552,28488,35.101
7756,21125,47.335
7960,19807,50.485
8164,21752,45.968
8368,24101,41.489
8572,21144,47.292
8776,29451,33.953
8980,24648,40.569
9184,32185,31.069
9388,31718,31.526
9592,16550,60.42
9796,15687,63.743
10000,25971,38.503
10204,21924,45.609
10408,11954,83.651
10612,21075,47.449
10816,14564,68.659
11020,23630,42.317
11224,13110,76.276
11428,14300,69.928
11632,9892,101.089
11836,25776,38.794
12040,12199,81.969
12244,15167,65.931
12448,15365,65.079
12652,10650,93.89
12856,40128,24.919
13060,11349,88.107
13264,12273,81.475
13468,11967,83.56
13672,14730,67.887
13876,12308,81.246
14080,19457,51.394
14284,23906,41.829
14488,11981,83.459
14692,38223,26.161
14896,14301,69.924
15100,11722,85.303
15304,17082,58.537
15508,10670,93.714
15712,20191,49.525
15916,22538,44.368
16120,8377,119.366
16324,30169,33.145
16528,33716,29.658
16732,34177,29.258
16936,7423,134.7
17140,23056,43.371
17344,7580,131.92
17548,16382,61.041
17752,7334,136.342
17956,14026,71.292
18160,8349,119.771
18364,15918,62.821
18568,14120,70.817
18772,10561,94.68
18976,9311,107.392
19180,11177,89.464
19384,6329,157.991
19588,19961,50.094
19792,12278,81.445
19996,11762,85.014
20200,35798,27.933
20404,8850,112.983
20608,16558,60.39
20812,6918,144.538
21016,29890,33.454
21220,6156,162.441
21424,31789,31.456
21628,15104,66.204
21832,13432,74.447
22036,11522,86.789
22240,11680,85.609
22444,7074,141.348
22648,9912,100.878
22852,8093,123.556
23056,12196,81.988
23260,10500,95.236
23464,8255,121.127
23668,15003,66.65
23872,13731,72.824
24076,16382,61.041
24280,7593,131.698
24484,11264,88.777
24688,7759,128.87
24892,12309,81.239
25096,8182,122.213
25300,19762,50.6
25504,12295,81.331
25708,10872,91.971
25912,21767,45.938
26116,8165,122.467
26320,13650,73.255
26524,7795,128.281
26728,11042,90.561
26932,6620,151.055
27136,12781,78.237
27340,25765,38.81
27544,8405,118.971
27748,9994,100.057
27952,7058,141.674
28156,11392,87.777
28360,7563,132.208
28564,16313,61.3
28768,9198,108.712
28972,28011,35.699
29176,7845,127.459
29380,13775,72.593
29584,18091,55.275
29788,7782,128.49
29992,13531,73.901
30196,7426,134.659
30400,16958,58.968
30604,8364,119.557
30808,10886,91.855
31012,10602,94.317
31216,23469,42.608
31420,13847,72.216
31624,8893,112.441
31828,13035,76.715
32032,10782,92.738
32236,14704,68.007
32440,6671,149.899
32644,11503,86.928
32848,9073,110.21
33052,24819,40.29
33256,11204,89.253
33460,9620,103.942
33664,8212,121.763
33868,9026,110.787
34072,11760,85.026
34276,9739,102.678
34480,25644,38.995
34684,7929,126.11
34888,15539,64.351
35092,19240,51.973
35296,6979,143.266
35500,14964,66.826
35704,10306,97.021
35908,15732,63.564
36112,7578,131.956
36316,23212,43.08
36520,12267,81.518
36724,18488,54.086
36928,12814,78.037
37132,9004,111.05
37336,10196,98.069
37540,13348,74.916
37744,9830,101.726
37948,10974,91.117
38152,12190,82.03
38356,14819,67.479
38560,11546,86.606
38764,6342,157.667
38968,22272,44.897
39172,7405,135.028
39376,14206,70.388
39580,8350,119.758
39784,12758,78.379
39988,13986,71.499
40192,12268,81.507
40396,13642,73.301
40600,8571,116.667
40804,10725,93.233
41008,9499,105.271
41212,9776,102.286
41416,25815,38.735
41620,14144,70.699
41824,8968,111.498
42028,15708,63.659
42232,12541,79.736
42436,8313,120.292
42640,10482,95.399
42844,9327,107.214
43048,11429,87.489
43252,11273,88.704
43456,14733,67.873
43660,13231,75.574
43864,8567,116.723
44068,11182,89.423
44272,8560,116.814
44476,12491,80.055
44680,8439,118.488
44884,10457,95.624
45088,12898,77.526
45292,9405,106.315
45496,7374,135.605
45700,11470,87.176
45904,8344,119.836
46108,11013,90.798
46312,12372,80.822
46516,11737,85.195
46720,13209,75.702
46924,13183,75.854
47128,7818,127.896
47332,9353,106.912
47536,9334,107.128
47740,19700,50.76
47944,7541,132.601
48148,21967,45.521
48352,14429,69.301
48556,11619,86.061
48760,8531,117.215
48964,22187,45.069
49168,8815,113.43
49372,15190,65.832
49576,10256,97.494
49780,17370,57.567
49984,11831,84.518
50188,10145,98.568
50392,9433,105.999
50596,10351,96.609
50800,10803,92.56
51004,16274,61.444
51208,11678,85.626
51412,11526,86.755
51616,16250,61.535
51820,10462,95.576
52024,10777,92.781
52228,13767,72.634
52432,7592,131.707
52636,14783,67.642
52840,16639,60.096
53044,14591,68.53
53248,17165,58.256
53452,10387,96.266
53656,8148,122.726
53860,10686,93.575
54064,22987,43.5
54268,7365,135.772
54472,23447,42.647
54676,22191,45.063
54880,7092,140.996
55084,12216,81.853
55288,11208,89.221
55492,15197,65.801
55696,12717,78.629
55900,12249,81.638
56104,10580,94.517
56308,11104,90.053
56512,10386,96.281
56716,8230,121.504
56920,14728,67.895
57124,9424,106.101
57328,10719,93.286
57532,15100,66.221
57736,8405,118.965
57940,11382,87.852
58144,8989,111.244
58348,11464,87.223
58552,8450,118.341
58756,13141,76.095
58960,11656,85.792
59164,8354,119.699
59368,20360,49.115
59572,9281,107.739
59776,11251,88.878
59980,15659,63.86
60184,8999,111.113
60388,19434,51.453
60592,8610,116.133
60796,11034,90.626
61000,7425,134.662
61204,15838,63.135
61408,10562,94.675
61612,8149,122.702
61816,12818,78.009
62020,12940,77.275
62224,12788,78.194
62428,10770,92.845
62632,7587,131.804
62836,16212,61.679
63040,8439,118.496
63244,12487,80.082
63448,8503,117.595
63652,12667,78.94
63856,25320,39.492
64060,11903,84.011
64264,9041,110.596
64468,6838,146.229
64672,13303,75.165
64876,9716,102.922
65080,7933,126.05
65284,30532,32.751
65488,13402,74.609
65692,22548,44.346
65896,24711,40.466
66100,7991,125.126
66304,15634,63.961
66508,13561,73.739
66712,10144,98.574
66916,15407,64.902
67120,18652,53.611
67324,11461,87.249
67528,11771,84.948
67732,30122,33.197
67936,32525,30.744
68140,20885,47.881
68344,12325,81.133
68548,17665,56.608
68752,23474,42.598
68956,25134,39.785
69160,10420,95.961
69364,31483,31.762
69568,7101,140.816
69772,17506,57.121
69976,22316,44.809
70180,10286,97.211
70384,17422,57.396
70588,10979,91.08
70792,9219,108.465
70996,16058,62.273
71200,10739,93.114
71404,25717,38.883
71608,14597,68.502
71812,10594,94.391
72016,10099,99.016
72220,10944,91.373
72424,14082,71.011
72628,6582,151.907
72832,23375,42.779
73036,9893,101.076
73240,14454,69.18
73444,18367,54.442
73648,7788,128.389
73852,10816,92.449
74056,11355,88.059
74260,16064,62.248
74464,21466,46.584
74668,15581,64.178
74872,35990,27.784
75076,13559,73.751
75280,12509,79.935
75484,18192,54.967
75688,8786,113.81
75892,16666,60.0
76096,9619,103.951
76300,27361,36.547
76504,38768,25.793
76708,8296,120.526
76912,22554,44.336
77116,10533,94.936
77320,16031,62.375
77524,7083,141.178
77728,20985,47.652
77932,21604,46.286
78136,8423,118.709
78340,16373,61.073
78544,7951,125.763
78748,10530,94.962
78952,6418,155.802
79156,16266,61.477
79360,10328,96.819
79564,27242,36.706
79768,10609,94.257
79972,12400,80.644
80176,12158,82.246
80380,9468,105.608
80584,11090,90.169
80788,10513,95.113
80992,20492,48.798
81196,9753,102.528
81400,8287,120.669
81604,10413,96.027
81808,10792,92.659
82012,8423,118.712
82216,15581,64.177
82420,11935,83.781
82624,8145,122.763
82828,21960,45.536
83032,7110,140.644
83236,8640,115.736
83440,6918,144.543
83644,17103,58.466
83848,7643,130.822
84052,19123,52.29
