Block Size,ops_per_sec,micros_per_op
1024,1525134,0.655
1228,2025849,0.493
1432,2177890,0.459
1636,1897677,0.526
1840,1821493,0.549
2044,2103359,0.475
2248,1705407,0.586
2452,1711771,0.583
2656,1381520,0.723
2860,1780436,0.561
3064,1604286,0.623
3268,1334757,0.748
3472,1433239,0.697
3676,1915745,0.521
3880,1768002,0.565
4084,1583054,0.631
4288,1908214,0.524
4492,1902587,0.525
4696,1678781,0.595
4900,1732922,0.576
5104,1795880,0.556
5308,1424785,0.701
5512,1865149,0.536
5716,1781165,0.561
5920,1952667,0.512
6124,1643466,0.608
6328,1954919,0.511
6532,2006984,0.498
6736,1769160,0.565
6940,2592890,0.385
7144,2273554,0.439
7348,2361107,0.423
7552,2368657,0.421
7756,2354492,0.424
7960,2134107,0.468
8164,2132832,0.468
8368,1872098,0.533
8572,2092487,0.477
8776,1878004,0.532
8980,2444927,0.408
9184,2142612,0.466
9388,2048970,0.487
9592,2130243,0.469
9796,2158568,0.463
10000,2242051,0.446
10204,2344995,0.426
10408,2111174,0.473
10612,1698600,0.588
10816,2196112,0.455
11020,2377951,0.42
11224,2132468,0.468
11428,2152713,0.464
11632,2047208,0.488
11836,2235636,0.447
12040,2504947,0.399
12244,2039734,0.49
12448,2327746,0.429
12652,1927859,0.518
12856,1989060,0.502
13060,1899479,0.526
13264,1996326,0.5
13468,1911314,0.522
13672,2192597,0.455
13876,2114343,0.472
14080,1965370,0.508
14284,2089121,0.478
14488,2137117,0.467
14692,2136386,0.467
14896,1940730,0.515
15100,2014423,0.496
15304,2230947,0.447
15508,2158568,0.463
15712,2228064,0.448
15916,2056597,0.485
16120,2261266,0.442
16324,1879734,0.531
16528,2201964,0.454
16732,2394980,0.417
16936,2078181,0.481
17140,1948520,0.512
17344,2253165,0.443
17548,2410742,0.414
17752,2015885,0.495
17956,2051366,0.487
18160,2367760,0.422
18364,2223160,0.449
18568,1859703,0.537
18772,2171788,0.46
18976,2336612,0.427
19180,2114746,0.472
19384,1935696,0.516
19588,2139678,0.467
19792,2390685,0.418
19996,2240695,0.446
20200,2147212,0.465
20404,2159454,0.462
20608,2246030,0.444
20812,2240394,0.446
21016,2401479,0.416
21220,2382029,0.419
21424,2346811,0.425
21628,2247039,0.444
21832,2342414,0.426
22036,2253927,0.443
22240,2237136,0.446
22444,2164033,0.461
22648,1775347,0.563
22852,2046957,0.488
23056,2325851,0.429
23260,1955798,0.511
23464,2225189,0.449
23668,2214594,0.451
23872,1971220,0.507
24076,1977691,0.505
24280,2259070,0.442
24484,2068765,0.483
24688,2269477,0.44
24892,2408071,0.415
25096,2162021,0.462
25300,2295842,0.435
25504,2412428,0.414
25708,1916663,0.521
25912,2307710,0.433
26116,2033760,0.491
26320,2105440,0.474
26524,2073312,0.482
26728,2293893,0.435
26932,2509536,0.398
27136,2231196,0.447
27340,2079304,0.48
27544,2012234,0.496
27748,2225387,0.449
27952,1964019,0.508
28156,1922300,0.519
28360,1778916,0.561
28564,1926856,0.518
28768,1580727,0.632
28972,1788045,0.559
