Block Size,ops_per_sec,micros_per_op
1024,8771,89.0
1228,15873,41.0
1432,9615,50.0
1636,13333,50.0
1840,17543,36.0
2044,13698,51.0
2248,12658,50.0
2452,13157,48.0
2656,15384,42.0
2860,17543,37.0
3064,14925,44.0
3268,9433,76.0
3472,13333,49.0
3676,12345,49.0
3880,9345,42.0
4084,14492,43.0
4288,9174,46.0
4492,9174,71.0
4696,5780,120.0
4900,6849,93.0
5104,5524,105.0
5308,6250,72.0
5512,4184,155.0
5716,8474,73.0
5920,6250,72.0
6124,8333,75.0
6328,7518,78.0
6532,6289,72.0
6736,5988,72.0
6940,6578,88.0
7144,4273,158.0
7348,3703,91.0
7552,7575,83.0
7756,6896,75.0
7960,5988,75.0
8164,5405,88.0
8368,4878,104.0
8572,4739,128.0
8776,4291,121.0
8980,8620,68.0
9184,6289,58.0
9388,9523,60.0
9592,10752,55.0
9796,4830,146.0
10000,7352,84.0
10204,9803,63.0
10408,6622,71.0
10612,6410,67.0
10816,6578,101.0
11020,10309,57.0
11224,6329,99.0
11428,8547,71.0
11632,3401,179.0
11836,6289,96.0
12040,6329,66.0
12244,6711,88.0
12448,6578,65.0
12652,5952,94.0
12856,6535,67.0
13060,7042,86.0
13264,5882,114.0
13468,7812,83.0
13672,8547,72.0
13876,4347,156.0
14080,6289,92.0
14284,6250,107.0
14488,7194,78.0
14692,9345,65.0
14896,4329,127.0
15100,5405,90.0
15304,5681,89.0
15508,9009,69.0
15712,8000,78.0
15916,9009,68.0
16120,8000,75.0
16324,7299,84.0
16528,6211,76.0
16732,8849,71.0
16936,7874,82.0
17140,5291,100.0
17344,9615,65.0
17548,10416,56.0
17752,8771,66.0
17956,9708,64.0
18160,7692,77.0
18364,6756,90.0
18568,5882,79.0
18772,5882,80.0
18976,3355,161.0
19180,8474,71.0
19384,8928,66.0
19588,8000,80.0
19792,8264,65.0
19996,5747,80.0
20200,6666,69.0
20404,9803,58.0
20608,7692,55.0
20812,7936,51.0
21016,7407,57.0
21220,11363,53.0
21424,10309,61.0
21628,11764,51.0
21832,10638,57.0
22036,7042,62.0
22240,6211,120.0
22444,4878,144.0
22648,7692,79.0
22852,8130,75.0
23056,9174,66.0
23260,10000,60.0
23464,6944,65.0
23668,4032,166.0
23872,5747,94.0
24076,9174,65.0
24280,6060,114.0
24484,8130,66.0
24688,8695,70.0
24892,9174,64.0
25096,9345,65.0
25300,10204,58.0
25504,10000,62.0
25708,7462,55.0
25912,8695,71.0
26116,8547,76.0
26320,8695,76.0
26524,9259,69.0
26728,10309,59.0
26932,7407,51.0
27136,7751,51.0
27340,11235,54.0
27544,10000,60.0
27748,7518,56.0
27952,10309,58.0
28156,10416,59.0
28360,11627,51.0
28564,11764,51.0
28768,12048,49.0
28972,10416,57.0
29176,12048,51.0
29380,11627,53.0
29584,8695,47.0
29788,11764,51.0
29992,6535,121.0
30196,12195,51.0
30400,8620,44.0
30604,11627,49.0
30808,13157,44.0
31012,12195,49.0
31216,9433,66.0
31420,12658,47.0
31624,13157,47.0
31828,12048,51.0
32032,8928,63.0
32236,11111,54.0
32440,8771,71.0
32644,10752,54.0
32848,7518,93.0
33052,8333,76.0
33256,11904,49.0
33460,7633,54.0
33664,8695,77.0
33868,6993,64.0
34072,8771,70.0
34276,8695,68.0
34480,5917,114.0
34684,9803,61.0
34888,10752,56.0
35092,11363,52.0
35296,10000,59.0
35500,11363,49.0
35704,9900,63.0
35908,7751,53.0
36112,6622,60.0
36316,12345,49.0
36520,12048,51.0
36724,12500,48.0
36928,11627,49.0
37132,10526,60.0
37336,10000,57.0
37540,9174,70.0
37744,11363,52.0
37948,11363,54.0
38152,12345,48.0
38356,11363,50.0
38560,11235,53.0
38764,12500,47.0
38968,8620,47.0
39172,11363,50.0
39376,12500,48.0
39580,12345,48.0
39784,11904,48.0
39988,8928,65.0
40192,10204,59.0
40396,5524,97.0
40600,9708,63.0
40804,9090,71.0
41008,9174,64.0
41212,6369,98.0
41416,7692,83.0
41620,8474,69.0
41824,8547,69.0
42028,9345,62.0
42232,6578,102.0
42436,8196,78.0
42640,8771,71.0
42844,7518,83.0
43048,8000,71.0
43252,4739,139.0
43456,6289,103.0
43660,8264,76.0
43864,8849,66.0
44068,9433,59.0
44272,6993,59.0
44476,10101,60.0
44680,9090,67.0
44884,6172,79.0
45088,4255,155.0
45292,8130,73.0
45496,8196,75.0
45700,8000,72.0
45904,7692,71.0
46108,7575,84.0
46312,5555,128.0
46516,6944,75.0
46720,6493,108.0
46924,7812,75.0
47128,7092,93.0
47332,6622,66.0
47536,7812,71.0
47740,9803,60.0
47944,4716,168.0
48148,10989,55.0
48352,9009,66.0
48556,10989,55.0
48760,11627,53.0
48964,11111,55.0
49168,12820,47.0
49372,12500,49.0
49576,12048,53.0
49780,9090,66.0
49984,10526,61.0
50188,7246,100.0
50392,10752,53.0
50596,10989,51.0
50800,4830,133.0
51004,11627,52.0
51208,11111,56.0
51412,10869,59.0
51616,6493,74.0
51820,9708,65.0
52024,6993,62.0
52228,11111,56.0
52432,10989,54.0
52636,7462,62.0
52840,7633,56.0
53044,12500,48.0
53248,12987,45.0
53452,12500,49.0
53656,13513,45.0
53860,8771,76.0
54064,8333,77.0
54268,10204,59.0
54472,10638,57.0
54676,6024,109.0
54880,8474,78.0
55084,8130,71.0
55288,6289,76.0
55492,8849,70.0
55696,6369,76.0
55900,6289,66.0
56104,8695,66.0
56308,8333,77.0
56512,8771,69.0
56716,7692,81.0
56920,8695,70.0
57124,4629,158.0
57328,8000,76.0
57532,7042,90.0
57736,5000,139.0
57940,7299,78.0
58144,7299,83.0
58348,8333,68.0
58552,5952,111.0
58756,4291,158.0
58960,5847,82.0
59164,8403,73.0
59368,7194,83.0
59572,6849,61.0
59776,7092,88.0
59980,8264,70.0
60184,7142,83.0
60388,9803,60.0
60592,4032,145.0
60796,6849,89.0
61000,5494,125.0
61204,9900,59.0
61408,6369,54.0
61612,10869,54.0
61816,9900,62.0
62020,6944,65.0
62224,11494,51.0
62428,11111,57.0
62632,8474,86.0
62836,10869,54.0
63040,12048,47.0
63244,11111,55.0
63448,8474,78.0
63652,10309,57.0
63856,11235,50.0
64060,10204,54.0
64264,8547,70.0
64468,11111,56.0
64672,10101,62.0
64876,7194,108.0
65080,10869,57.0
65284,12345,50.0
65488,8064,54.0
65692,12195,46.0
65896,12195,49.0
66100,12195,48.0
66304,13513,44.0
66508,8547,48.0
66712,12500,47.0
66916,12195,46.0
67120,12345,48.0
67324,12820,47.0
67528,10526,55.0
67732,6134,76.0
67936,6211,123.0
68140,9803,60.0
68344,6410,78.0
68548,12048,50.0
68752,11494,53.0
68956,11764,52.0
69160,12500,48.0
69364,11494,50.0
69568,12345,49.0
69772,12195,49.0
69976,12048,49.0
70180,12195,49.0
70384,8064,54.0
70588,10752,54.0
70792,10526,60.0
70996,9803,67.0
71200,7142,61.0
71404,9433,67.0
71608,7751,86.0
71812,8333,77.0
72016,5649,117.0
72220,8130,78.0
72424,6369,101.0
72628,9090,68.0
72832,7142,84.0
73036,8064,75.0
73240,6622,70.0
73444,5208,127.0
73648,6802,79.0
73852,8333,74.0
74056,7874,84.0
74260,6097,103.0
74464,9009,68.0
74668,7936,72.0
74872,7352,83.0
75076,8403,73.0
75280,8620,72.0
75484,2915,206.0
