Block Size,ops_per_sec,micros_per_op
1024,9174,68.0
1228,8928,62.0
1432,9523,62.0
1636,9900,59.0
1840,8849,72.0
2044,7142,56.0
2248,10989,56.0
2452,11235,54.0
2656,10989,54.0
2860,10638,54.0
3064,11111,52.0
3268,9615,68.0
3472,11764,49.0
3676,7692,55.0
3880,10526,57.0
4084,11494,51.0
4288,11627,50.0
4492,12048,50.0
4696,10869,59.0
4900,11235,57.0
5104,12195,49.0
5308,10101,65.0
5512,12820,43.0
5716,12500,48.0
5920,10526,59.0
6124,9900,68.0
6328,8333,88.0
6532,11111,53.0
6736,7812,48.0
6940,11764,49.0
7144,12658,49.0
7348,12820,48.0
7552,8547,70.0
7756,8695,74.0
7960,11235,53.0
8164,8403,48.0
8368,11494,55.0
8572,10638,61.0
8776,11494,50.0
8980,13333,44.0
9184,12345,49.0
9388,12658,48.0
9592,12345,51.0
9796,12658,47.0
10000,12048,46.0
10204,12048,48.0
10408,12500,49.0
10612,7633,59.0
10816,11904,51.0
11020,11764,48.0
11224,12048,50.0
11428,12500,48.0
11632,12658,46.0
11836,8547,75.0
12040,7874,57.0
12244,12658,46.0
12448,12820,47.0
12652,11764,53.0
12856,12345,50.0
13060,8547,51.0
13264,11764,49.0
13468,9900,70.0
13672,8333,49.0
13876,12345,49.0
14080,10989,60.0
14284,11627,51.0
14488,10752,55.0
14692,12345,50.0
14896,11904,48.0
15100,11764,52.0
15304,12195,48.0
15508,12820,46.0
15712,11363,51.0
15916,12658,48.0
16120,12048,49.0
16324,8403,48.0
16528,8264,51.0
16732,11627,53.0
16936,12987,46.0
17140,12048,51.0
17344,12195,50.0
17548,9090,72.0
17752,9615,66.0
17956,6622,104.0
18160,8264,51.0
18364,8849,72.0
18568,9174,72.0
18772,12500,48.0
18976,8064,49.0
19180,10416,61.0
19384,7812,52.0
19588,7246,63.0
19792,9090,71.0
19996,7246,58.0
20200,9708,67.0
20404,8196,53.0
20608,7812,51.0
20812,12345,47.0
21016,11627,53.0
21220,8928,70.0
21424,11111,55.0
21628,6711,103.0
21832,11111,55.0
22036,11494,51.0
22240,11494,54.0
22444,10309,63.0
22648,10989,56.0
22852,10752,62.0
23056,12195,50.0
23260,6211,100.0
23464,9708,57.0
23668,10101,63.0
23872,11111,53.0
24076,8620,49.0
24280,12345,47.0
24484,8264,49.0
24688,11904,52.0
24892,10989,53.0
25096,7692,60.0
25300,11627,54.0
25504,12195,49.0
25708,12658,46.0
25912,12195,49.0
26116,11764,52.0
26320,7936,53.0
26524,7936,88.0
26728,11904,49.0
26932,10989,58.0
27136,7692,52.0
27340,11235,56.0
27544,11764,52.0
27748,10869,59.0
27952,12048,51.0
28156,12500,47.0
28360,10869,53.0
28564,12345,47.0
