max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,target_file_size_multiplier,target_file_size_base,ops_per_sec,micros_per_op
8,1,651120231,8,3,13,58349,15,19,2,3,99191329,55049,18.165
1,6,577035471,4,2,9,91584,14,2,30,8,102631119,63507,15.746
4,2,215482972,2,3,13,45949,9,13,28,8,118162398,58737,17.024
8,1,935839223,2,2,5,28654,6,12,7,5,44850557,47674,20.975
8,3,766347314,2,5,13,72410,10,3,3,6,101178132,57008,17.541
3,8,105830418,2,2,4,123814,12,8,4,1,114788568,58781,17.012
1,8,898505566,8,2,4,95167,8,14,29,1,73672775,64976,15.39
6,6,775585708,7,4,9,120176,6,29,22,7,114164276,53125,18.823
4,8,67527650,2,3,7,61472,7,8,11,2,93456742,46457,21.524
2,1,695959821,8,3,16,32277,10,15,11,3,51327012,61325,16.306
3,5,673889874,4,2,16,126182,11,3,14,6,122374867,58546,17.08
5,3,329828595,6,3,16,59682,2,8,11,8,110590013,62337,16.041
3,7,645757469,8,4,10,100545,7,32,17,8,108399357,69823,14.321
3,1,658255054,6,5,7,39636,15,15,18,7,126423229,60584,16.505
2,8,383477476,6,4,9,108545,12,2,25,7,125810325,56808,17.603
7,3,1023897254,2,1,16,109997,16,22,32,3,115686850,55606,17.983
3,3,369834102,3,4,4,18518,2,13,4,5,58367293,67029,14.918
7,5,924272102,6,2,6,10785,8,22,16,2,125122810,65079,15.366
3,3,764114649,5,1,16,51192,6,12,4,2,91057063,44305,22.57
4,7,754913501,6,2,8,6446,4,9,19,1,72473107,56679,17.642
4,6,756280992,8,3,15,80113,15,10,8,2,77465666,58592,17.066
6,3,625168420,8,3,4,111702,3,24,11,8,81627306,51999,19.231
4,5,992082931,7,1,11,113088,15,24,30,8,61182397,42247,23.669
5,5,226275991,7,4,6,21329,9,19,32,1,96474422,34172,29.262
5,3,372098823,5,1,15,119911,15,21,13,6,48466225,33636,29.729
6,7,736656974,3,1,8,61650,10,25,20,2,36403353,51235,19.517
2,3,59514413,4,1,11,115051,14,17,3,3,37725117,61679,16.212
5,2,84504191,6,3,7,46224,14,15,22,3,37713061,41270,24.23
2,7,39608251,5,5,15,59968,11,24,22,1,117431124,50756,19.701
2,7,429533549,5,2,15,22828,9,11,18,6,119976106,54395,18.383
3,2,892852826,3,4,11,102931,7,26,28,8,96033293,43530,22.971
1,3,426594970,4,3,10,111966,6,4,9,7,34655234,28572,34.998
5,4,579830207,7,5,6,22912,14,14,2,4,120557984,37878,26.4
