max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,target_file_size_multiplier,target_file_size_base,ops_per_sec,micros_per_op
7,7,699540402,2,2,14,6789,11,18,20,1,90635606,1462790,0.684
5,4,773748442,3,4,11,104260,5,6,5,7,93378751,1156778,0.864
1,3,400461097,7,4,11,40639,2,25,22,1,125435571,1866131,0.536
3,8,438307510,2,2,16,83928,16,28,12,2,65483015,1778071,0.562
5,2,171685661,6,5,16,115552,16,6,26,8,75061142,1624162,0.616
8,2,717202909,5,4,4,27051,6,25,25,2,67456478,1737800,0.575
3,3,596062862,5,5,5,64194,8,6,7,2,92453919,1807798,0.553
3,2,332174424,7,4,14,5791,7,13,29,1,95685184,1806113,0.554
5,2,1040120050,4,5,5,113178,12,6,27,5,63816949,1702142,0.587
5,2,419262395,6,5,4,77362,7,3,26,4,68698054,1608482,0.622
5,1,564928490,6,1,12,110064,9,4,19,3,58209310,1358378,0.736
8,8,300599142,8,1,6,118746,7,2,18,1,66366171,2053004,0.487
2,6,85695971,4,4,3,11264,12,21,12,2,79968886,1891120,0.529
3,8,324300809,8,1,7,113675,10,5,19,4,108661087,1853114,0.54
6,8,860317655,7,5,13,122509,13,24,10,8,64973125,1626815,0.615
8,5,413237945,6,5,15,49405,9,6,5,7,45363139,1694570,0.59
8,2,170045331,8,4,11,40573,6,6,17,3,73666714,1630749,0.613
2,7,606742418,2,4,13,70335,4,29,3,1,126303338,1564159,0.639
2,1,23385413,7,4,10,62033,7,11,32,5,81702267,1212478,0.825
1,2,493488168,6,2,4,82798,5,28,32,5,94867228,1675858,0.597
7,1,666171780,7,5,10,99457,15,4,11,2,102992834,1245897,0.803
4,2,1024418057,3,2,6,105772,7,28,10,2,61612508,1727002,0.579
6,7,1037997685,4,4,5,48535,14,29,7,8,40035490,1364559,0.733
5,6,761108544,3,3,7,11107,15,29,2,4,54539758,1669017,0.599
5,2,788141741,4,1,15,123057,12,27,18,4,85908106,1692923,0.591
