max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,target_file_size_multiplier,target_file_size_base,ops_per_sec,micros_per_op
3,2,917394468,3,2,13,9416,2,5,13,5,58072598,224,4412.0
6,3,348943456,3,4,8,95604,8,2,13,5,83573982,205,4831.0
1,6,378038123,3,1,14,113323,16,32,3,6,37310344,195,5089.0
3,8,333414037,3,2,8,9805,10,2,25,7,44100130,182,5440.0
4,3,143045532,7,4,4,25024,6,30,20,7,98516690,217,4574.0
6,8,478486000,2,5,6,20622,4,32,25,3,102046438,278,3552.0
4,4,551770042,4,4,10,70103,5,29,11,5,77034773,265,3720.0
6,2,869729511,2,5,9,38089,10,18,6,4,39762628,214,4622.0
3,7,882358941,5,4,10,59916,8,2,3,6,120435901,199,4975.0
7,8,592092684,6,1,6,44685,8,11,17,8,112557266,213,4642.0
3,7,188003227,2,5,3,99600,8,25,5,3,60869985,213,4628.0
1,7,761528487,3,2,10,63147,8,5,29,1,87651233,169,5861.0
8,6,253638483,7,4,4,60295,9,30,8,1,99043006,168,5898.0
8,3,104760764,7,3,4,37323,5,29,23,1,105537006,165,5999.0
2,2,517673391,4,2,9,10130,5,7,13,7,37499084,196,4987.0
3,1,67507407,4,4,12,96514,9,30,29,3,114303911,149,6598.0
4,7,65909114,5,5,6,99090,15,13,7,4,76096972,190,5210.0
1,8,914102653,2,5,4,63096,16,18,16,6,52669501,225,4400.0
5,6,867118121,3,3,13,77748,12,31,6,3,112741768,210,4712.0
3,2,342513913,7,5,12,51643,3,8,18,7,52825688,191,5184.0
4,6,112922992,8,4,12,38172,11,19,23,8,37869880,216,4580.0
8,3,335553175,3,3,9,70954,10,12,19,7,104268375,183,5406.0
8,5,430941705,5,1,2,70487,4,23,15,8,86518720,196,5048.0
1,4,524133331,7,5,14,100234,3,14,22,7,40219592,223,4437.0
6,7,603224141,4,5,3,101883,4,5,8,7,55236636,190,5206.0
6,1,104955022,4,1,3,127276,10,18,5,5,91018474,193,5103.0
4,6,284104845,8,3,6,126428,7,5,18,8,54509016,186,5247.0
3,2,661748248,8,1,4,94646,7,14,6,1,69709509,157,6315.0
8,1,23264377,7,2,8,124809,4,8,4,6,122914413,195,5081.0
7,8,227148775,4,5,14,130318,10,6,13,8,54653325,171,5741.0
8,4,499676344,8,2,12,84678,2,2,12,1,40704841,221,4472.0
2,3,43748061,7,5,4,76921,10,17,27,7,55816431,184,5374.0
2,6,560354479,6,2,14,54406,16,21,28,7,113461317,170,5823.0
7,8,297426582,6,5,4,81882,3,22,15,6,41302208,165,5938.0
4,1,808838700,5,4,8,88870,4,13,24,8,132346909,206,4814.0
7,3,38935707,6,2,5,58578,15,10,26,6,97035420,190,5206.0
5,5,938329033,4,2,2,119927,15,5,32,3,73216718,128,7714.0
2,6,651849076,7,2,13,44089,3,22,12,8,76112176,183,5399.0
4,2,429440713,3,4,11,69384,6,29,23,8,130201738,150,6583.0
8,5,840980724,4,1,13,7931,3,18,13,5,109205845,205,4811.0
1,2,500441557,3,3,3,43807,15,21,17,1,65943362,163,6051.0
7,2,90011802,5,1,5,67610,7,9,10,1,115428328,202,4907.0
4,4,37431766,2,5,10,34335,10,31,20,7,109939207,158,6240.0
1,5,122527566,4,2,5,33237,6,8,27,4,90180960,171,5783.0
7,6,1066778649,8,4,6,42280,7,22,26,8,83418348,220,4492.0
6,6,919295311,5,2,2,102233,8,19,10,8,130862174,159,6209.0
3,1,280991231,5,2,3,77547,13,27,25,3,48245650,165,6007.0
1,2,487330177,5,4,12,106068,8,9,29,3,131005291,175,5659.0
2,7,686461463,2,4,14,39286,11,29,8,8,41338375,210,4712.0
5,4,248171129,7,3,13,104680,15,5,12,6,84598643,194,5109.0
5,7,587312113,5,1,10,118859,3,11,20,7,81106838,225,4395.0
4,6,753225068,5,3,16,110277,14,3,17,2,37522972,177,5585.0
5,6,1062106849,5,2,7,28151,11,17,17,5,110007756,166,5958.0
8,5,851983347,2,2,8,80972,6,2,8,4,71254119,158,6259.0
5,3,536774647,5,5,8,103591,10,11,5,7,93570269,161,6142.0
2,2,491701706,7,5,5,72715,12,12,4,3,68075180,109,9020.0
