Write Buffer Size,ops_per_sec,micros_per_op
58720256,28672,34.876
59768832,34766,28.763
60817408,34776,28.754
61865984,47140,21.213
62914560,41705,23.977
63963136,40681,24.58
65011712,25486,39.235
66060288,38392,26.046
67108864,34829,28.71
68157440,32671,30.607
69206016,52657,18.99
70254592,46874,21.332
71303168,47896,20.878
72351744,18539,53.939
73400320,11825,84.564
74448896,32104,31.147
75497472,23063,43.359
76546048,47015,21.268
77594624,48627,20.564
78643200,38003,26.312
79691776,56018,17.851
80740352,38343,26.079
81788928,31263,31.985
82837504,18343,54.515
83886080,31468,31.777
84934656,38873,25.724
85983232,12038,83.07
87031808,21839,45.788
88080384,35178,28.425
89128960,49788,20.084
90177536,55792,17.923
91226112,21324,46.893
92274688,15003,66.649
93323264,55363,18.062
94371840,48081,20.797
95420416,40344,24.786
96468992,28963,34.525
97517568,24098,41.495
98566144,27925,35.807
99614720,32335,30.925
100663296,12846,77.839
101711872,28488,35.101
102760448,24539,40.751
103809024,35257,28.362
104857600,32974,30.326
105906176,33751,29.628
106954752,54702,18.28
108003328,37609,26.588
109051904,30862,32.401
110100480,34465,29.014
111149056,34758,28.769
112197632,13177,75.889
113246208,36333,27.522
114294784,15750,63.491
115343360,29591,33.791
116391936,26291,38.033
117440512,24169,41.374
118489088,31223,32.027
119537664,39737,25.165
120586240,26683,37.476
121634816,42122,23.74
122683392,27850,35.905
123731968,48983,20.414
124780544,52182,19.163
125829120,53448,18.709
126877696,45611,21.923
127926272,22542,44.36
128974848,7105,140.734
130023424,11419,87.57
131072000,10200,98.03
132120576,31742,31.502
133169152,24718,40.456
134217728,37290,26.816
135266304,28759,34.77
136314880,31659,31.585
137363456,34433,29.041
138412032,21395,46.737
139460608,21248,47.061
140509184,34679,28.834
141557760,31523,31.721
142606336,38728,25.82
143654912,26364,37.929
144703488,31654,31.59
145752064,17464,57.258
146800640,20622,48.491
147849216,25539,39.154
148897792,24639,40.584
149946368,38545,25.942
150994944,52853,18.919
152043520,20863,47.93
153092096,36035,27.75
154140672,43612,22.929
155189248,43596,22.937
156237824,52367,19.094
157286400,35103,28.486
158334976,39039,25.614
159383552,26124,38.278
160432128,36355,27.506
161480704,40299,24.813
162529280,38707,25.835
163577856,27783,35.992
164626432,38035,26.291
165675008,43569,22.951
166723584,45661,21.9
167772160,34168,29.266
168820736,39439,25.354
169869312,35607,28.084
170917888,44954,22.244
171966464,50731,19.711
173015040,18901,52.906
174063616,39921,25.048
175112192,15986,62.551
176160768,36647,27.286
177209344,44791,22.325
178257920,42092,23.756
179306496,36239,27.594
180355072,45912,21.78
181403648,27721,36.073
182452224,52042,19.214
183500800,18500,54.051
184549376,22477,44.488
185597952,43292,23.098
186646528,13469,74.244
187695104,30715,32.556
188743680,57576,17.367
189792256,33908,29.49
190840832,38305,26.106
191889408,40637,24.607
192937984,31343,31.903
193986560,38228,26.158
