Write Buffer Size,ops_per_sec,micros_per_op
58720256,15151,43.0
59768832,13698,48.0
60817408,16949,36.0
61865984,9259,54.0
62914560,9174,54.0
63963136,17857,35.0
65011712,16393,39.0
66060288,16666,37.0
67108864,9345,52.0
68157440,6410,97.0
69206016,16666,37.0
70254592,17857,35.0
71303168,14084,42.0
72351744,16666,39.0
73400320,16393,39.0
74448896,13157,53.0
75497472,10204,37.0
76546048,17543,37.0
77594624,15873,40.0
78643200,16666,37.0
79691776,16666,38.0
80740352,17241,36.0
81788928,14705,48.0
82837504,15625,43.0
83886080,16949,36.0
84934656,14492,46.0
85983232,13513,49.0
87031808,11627,53.0
88080384,11494,59.0
89128960,13888,47.0
90177536,11111,42.0
91226112,14925,42.0
92274688,8000,45.0
93323264,15151,43.0
94371840,12820,49.0
95420416,12820,48.0
96468992,14084,45.0
97517568,12048,54.0
98566144,13888,46.0
99614720,13513,49.0
100663296,16393,37.0
101711872,15873,39.0
102760448,10752,64.0
103809024,12345,53.0
104857600,8000,86.0
105906176,5464,122.0
106954752,11627,54.0
108003328,6802,100.0
109051904,7575,59.0
110100480,9259,60.0
111149056,4291,62.0
112197632,6410,106.0
113246208,7462,81.0
114294784,7936,79.0
115343360,4854,148.0
116391936,4629,160.0
117440512,7092,86.0
118489088,3891,201.0
119537664,4237,161.0
120586240,6211,102.0
121634816,6711,88.0
122683392,6250,75.0
123731968,8196,69.0
124780544,8130,78.0
125829120,7194,87.0
126877696,3597,176.0
127926272,4784,144.0
128974848,6896,62.0
130023424,6622,85.0
131072000,6622,65.0
132120576,3802,198.0
133169152,8264,70.0
134217728,9009,68.0
135266304,5555,119.0
136314880,8333,71.0
137363456,7518,81.0
138412032,4000,149.0
139460608,8196,71.0
140509184,8849,56.0
141557760,9090,65.0
142606336,8620,68.0
143654912,5050,116.0
144703488,10204,57.0
145752064,8928,70.0
146800640,10204,59.0
147849216,10526,58.0
148897792,7812,89.0
149946368,10989,50.0
150994944,10000,63.0
152043520,8403,70.0
153092096,6329,64.0
154140672,7751,79.0
155189248,8130,75.0
156237824,8849,71.0
157286400,7874,82.0
158334976,7299,84.0
159383552,4132,153.0
160432128,8130,72.0
161480704,6944,88.0
162529280,6993,83.0
163577856,9708,62.0
164626432,9009,70.0
165675008,7142,57.0
166723584,10416,54.0
167772160,11111,52.0
168820736,11764,49.0
169869312,11363,53.0
170917888,11904,50.0
171966464,8474,50.0
173015040,12195,49.0
174063616,11235,56.0
175112192,9259,64.0
176160768,11235,56.0
177209344,10752,58.0
178257920,2985,263.0
179306496,4629,170.0
180355072,8264,67.0
181403648,4566,139.0
182452224,8620,70.0
183500800,6944,88.0
184549376,5714,106.0
185597952,6289,104.0
186646528,7874,81.0
187695104,4807,128.0
188743680,5524,113.0
189792256,7633,79.0
190840832,6802,99.0
191889408,6250,110.0
192937984,8771,67.0
193986560,8130,78.0
195035136,6993,62.0
196083712,9708,61.0
197132288,9009,62.0
198180864,6849,62.0
199229440,9433,63.0
200278016,6896,84.0
201326592,4629,155.0
202375168,9090,69.0
203423744,9090,68.0
204472320,9615,63.0
205520896,9615,63.0
206569472,10000,59.0
207618048,9615,63.0
208666624,10416,56.0
209715200,5649,136.0
210763776,10101,61.0
211812352,8547,67.0
212860928,5319,139.0
213909504,9345,66.0
214958080,9259,64.0
216006656,6944,80.0
217055232,8064,69.0
218103808,8771,69.0
219152384,6622,69.0
220200960,10204,60.0
221249536,7407,59.0
222298112,8695,74.0
223346688,8771,73.0
224395264,11111,54.0
225443840,11235,55.0
226492416,10204,55.0
227540992,6535,70.0
228589568,6622,67.0
229638144,10309,57.0
230686720,11235,52.0
231735296,11111,51.0
232783872,11111,52.0
233832448,10638,58.0
234881024,10526,61.0
235929600,11627,52.0
236978176,10204,59.0
238026752,10309,57.0
239075328,9345,62.0
240123904,7462,53.0
241172480,11627,50.0
242221056,10752,49.0
243269632,10638,55.0
244318208,11235,53.0
245366784,6666,117.0
246415360,10638,57.0
247463936,11235,55.0
248512512,11627,53.0
249561088,12048,49.0
250609664,10989,52.0
251658240,11904,52.0
252706816,12345,51.0
253755392,8064,50.0
254803968,12820,47.0
255852544,12658,45.0
256901120,12195,51.0
257949696,11904,50.0
258998272,8849,67.0
260046848,12345,50.0
261095424,10989,51.0
262144000,12987,46.0
263192576,12345,48.0
264241152,13157,46.0
265289728,12820,47.0
266338304,12500,49.0
267386880,8064,56.0
268435456,12195,50.0
269484032,8264,47.0
270532608,12345,49.0
271581184,12658,47.0
272629760,11764,52.0
273678336,12658,48.0
274726912,12195,49.0
275775488,12195,51.0
276824064,11363,55.0
277872640,6666,74.0
278921216,9433,63.0
279969792,12195,50.0
281018368,11111,58.0
282066944,12345,49.0
283115520,11764,50.0
284164096,11235,54.0
285212672,6756,61.0
286261248,11494,51.0
287309824,12658,49.0
288358400,8130,49.0
289406976,12820,48.0
290455552,11764,53.0
291504128,12820,47.0
292552704,12987,46.0
293601280,11627,54.0
294649856,12500,50.0
295698432,13157,43.0
296747008,11494,51.0
297795584,12987,47.0
298844160,12345,51.0
299892736,9803,71.0
300941312,11904,51.0
301989888,13333,45.0
303038464,12658,48.0
304087040,12987,47.0
305135616,13333,45.0
306184192,12658,51.0
307232768,12500,46.0
308281344,12195,48.0
309329920,12987,47.0
310378496,10309,57.0
311427072,11764,50.0
312475648,12048,51.0
313524224,11764,50.0
314572800,8130,53.0
315621376,8064,55.0
316669952,11494,51.0
317718528,11363,55.0
318767104,11494,53.0
319815680,10752,54.0
320864256,7751,56.0
321912832,11111,52.0
322961408,11764,50.0
324009984,12658,47.0
325058560,11764,48.0
326107136,12500,48.0
327155712,12195,49.0
328204288,7936,55.0
329252864,12195,51.0
330301440,7751,86.0
331350016,9615,64.0
332398592,6756,104.0
333447168,6134,118.0
334495744,7751,92.0
335544320,10204,58.0
336592896,8264,86.0
337641472,11494,52.0
338690048,8474,87.0
339738624,12820,45.0
340787200,12195,52.0
341835776,8196,89.0
342884352,8130,53.0
343932928,9259,67.0
344981504,8264,52.0
346030080,9259,64.0
347078656,8620,70.0
348127232,5882,84.0
349175808,5586,121.0
350224384,5555,131.0
351272960,8196,66.0
352321536,8264,76.0
353370112,9900,60.0
354418688,9259,64.0
355467264,9433,67.0
356515840,8547,67.0
357564416,10204,57.0
358612992,10000,59.0
359661568,9708,59.0
360710144,10869,56.0
361758720,10638,55.0
362807296,10752,57.0
363855872,7352,51.0
364904448,9523,64.0
365953024,5847,129.0
367001600,6993,94.0
368050176,9708,60.0
369098752,9259,64.0
370147328,6329,106.0
371195904,5464,135.0
372244480,5347,138.0
373293056,6250,99.0
374341632,5586,124.0
375390208,9174,64.0
376438784,6711,97.0
377487360,7299,85.0
378535936,10000,60.0
379584512,5025,150.0
380633088,10000,60.0
381681664,7407,54.0
382730240,7692,55.0
383778816,4694,164.0
384827392,10101,59.0
385875968,9803,65.0
386924544,5076,159.0
387973120,9259,66.0
389021696,7874,75.0
390070272,6849,63.0
391118848,8130,70.0
392167424,10204,57.0
393216000,7299,61.0
394264576,7936,89.0
395313152,8196,86.0
396361728,11111,55.0
397410304,8620,58.0
398458880,7936,84.0
399507456,10416,60.0
400556032,10204,61.0
401604608,9900,60.0
402653184,11363,54.0
403701760,6250,58.0
404750336,9900,61.0
405798912,7092,58.0
406847488,10989,55.0
407896064,11494,55.0
408944640,10638,55.0
409993216,10638,55.0
411041792,11494,53.0
412090368,11764,53.0
413138944,12345,48.0
414187520,7633,58.0
415236096,11494,51.0
416284672,11764,52.0
417333248,8064,48.0
418381824,11235,53.0
419430400,10869,56.0
420478976,12195,50.0
421527552,12820,46.0
422576128,11904,51.0
423624704,11904,51.0
424673280,11627,51.0
425721856,12195,50.0
426770432,11764,52.0
427819008,11904,49.0
428867584,8196,54.0
429916160,12195,49.0
430964736,11627,54.0
432013312,8064,51.0
433061888,12195,49.0
434110464,10752,57.0
435159040,11904,52.0
436207616,11764,48.0
437256192,12048,50.0
438304768,12658,48.0
439353344,8000,75.0
440401920,7462,58.0
441450496,10101,60.0
442499072,7092,63.0
443547648,10204,62.0
444596224,9803,58.0
445644800,10000,63.0
446693376,10638,57.0
447741952,9090,69.0
448790528,9090,61.0
449839104,10638,58.0
450887680,11363,51.0
451936256,9345,72.0
452984832,10989,56.0
454033408,11764,49.0
455081984,7812,92.0
456130560,11904,50.0
457179136,12048,50.0
458227712,8130,88.0
459276288,11627,54.0
460324864,12658,46.0
461373440,12500,48.0
462422016,12195,52.0
463470592,7874,95.0
464519168,10752,54.0
465567744,11904,52.0
466616320,6756,115.0
467664896,11494,51.0
468713472,6329,72.0
469762048,11363,52.0
470810624,10752,56.0
471859200,12820,46.0
472907776,6172,52.0
473956352,12987,46.0
475004928,12345,50.0
476053504,9900,58.0
477102080,7692,96.0
478150656,11363,52.0
479199232,9615,67.0
480247808,10869,54.0
481296384,10101,60.0
482344960,11627,54.0
483393536,11494,53.0
484442112,10526,58.0
485490688,6578,67.0
486539264,8264,73.0
487587840,10000,60.0
488636416,6622,66.0
489684992,10869,55.0
490733568,7462,56.0
491782144,5524,115.0
492830720,7246,56.0
493879296,6622,103.0
494927872,6451,69.0
495976448,9090,69.0
497025024,10000,60.0
498073600,7352,55.0
499122176,10869,54.0
500170752,9615,59.0
501219328,9615,57.0
502267904,7812,82.0
503316480,7692,79.0
504365056,8474,70.0
505413632,7812,82.0
506462208,8849,64.0
507510784,9433,58.0
508559360,6289,63.0
509607936,10309,58.0
510656512,10416,58.0
511705088,11235,53.0
512753664,11494,54.0
513802240,8771,80.0
514850816,11111,52.0
515899392,11235,54.0
516947968,7299,99.0
517996544,10309,55.0
519045120,10000,61.0
520093696,7518,87.0
521142272,11111,52.0
522190848,10638,56.0
523239424,8928,71.0
524288000,9174,63.0
525336576,10638,55.0
526385152,7812,77.0
527433728,9900,62.0
528482304,5494,89.0
529530880,8064,77.0
530579456,7407,81.0
531628032,6944,88.0
532676608,5780,117.0
533725184,9009,64.0
534773760,8928,63.0
535822336,6329,97.0
536870912,8000,74.0
537919488,9174,65.0
538968064,6024,101.0
540016640,7194,89.0
541065216,8064,73.0
542113792,9433,64.0
543162368,9259,61.0
544210944,9090,68.0
545259520,9900,61.0
546308096,7518,83.0
547356672,6211,74.0
548405248,9523,58.0
549453824,10638,56.0
550502400,10000,58.0
551550976,10101,60.0
552599552,6756,104.0
553648128,4545,180.0
554696704,8196,71.0
555745280,10989,55.0
556793856,11627,50.0
557842432,10526,57.0
558891008,6172,116.0
559939584,10869,52.0
560988160,8928,64.0
562036736,5405,133.0
563085312,6172,126.0
564133888,5405,110.0
565182464,6756,111.0
566231040,7246,103.0
567279616,9090,77.0
568328192,8264,89.0
569376768,7142,109.0
570425344,10000,66.0
571473920,12195,50.0
