Write Buffer Size,ops_per_sec,micros_per_op
58720256,9615,81.0
59768832,10752,49.0
60817408,9615,67.0
61865984,10638,37.0
62914560,18867,32.0
63963136,16666,37.0
65011712,17543,36.0
66060288,17241,35.0
67108864,11627,61.0
68157440,10752,37.0
69206016,17857,35.0
70254592,17241,35.0
71303168,15625,43.0
72351744,17543,36.0
73400320,10416,34.0
74448896,16666,38.0
75497472,16666,39.0
76546048,10752,36.0
77594624,15625,42.0
78643200,10416,67.0
79691776,13698,47.0
80740352,10309,37.0
81788928,16949,37.0
82837504,5988,130.0
83886080,15384,43.0
84934656,8474,91.0
85983232,14705,42.0
87031808,17543,35.0
88080384,16666,40.0
89128960,11904,55.0
90177536,7194,65.0
91226112,15625,43.0
92274688,8196,76.0
93323264,10526,60.0
94371840,10869,58.0
95420416,17241,37.0
96468992,15384,43.0
97517568,18181,34.0
98566144,16129,39.0
99614720,17857,35.0
100663296,9433,53.0
101711872,18867,32.0
102760448,9174,53.0
103809024,17857,35.0
104857600,16393,36.0
105906176,13888,46.0
106954752,14705,46.0
108003328,18181,35.0
109051904,17543,36.0
110100480,6849,124.0
111149056,15625,42.0
112197632,15151,40.0
113246208,8130,86.0
114294784,4237,153.0
115343360,10752,56.0
116391936,10752,65.0
117440512,7812,85.0
118489088,14285,43.0
119537664,12195,53.0
120586240,14084,44.0
121634816,8547,85.0
122683392,11235,58.0
123731968,8771,75.0
124780544,14705,42.0
125829120,13698,47.0
126877696,14492,43.0
127926272,14285,46.0
128974848,12195,52.0
130023424,7812,82.0
131072000,13513,46.0
132120576,14285,44.0
133169152,13698,46.0
134217728,5434,145.0
135266304,10752,66.0
136314880,3012,217.0
137363456,5847,129.0
138412032,11494,55.0
139460608,14285,43.0
140509184,13888,44.0
141557760,9433,73.0
142606336,10000,63.0
143654912,14705,43.0
144703488,7518,99.0
145752064,8928,81.0
146800640,6666,52.0
147849216,11764,56.0
148897792,16129,38.0
149946368,12345,49.0
150994944,14705,43.0
152043520,15384,39.0
153092096,14285,44.0
154140672,14285,43.0
155189248,15384,42.0
156237824,9803,64.0
157286400,14705,42.0
158334976,4219,177.0
159383552,6896,114.0
160432128,6369,121.0
161480704,13888,46.0
162529280,12195,60.0
163577856,5780,116.0
164626432,12987,50.0
165675008,16129,38.0
166723584,14084,45.0
167772160,10989,63.0
168820736,6666,113.0
169869312,10989,54.0
170917888,8333,90.0
171966464,16393,38.0
173015040,17241,37.0
174063616,16666,38.0
175112192,3412,34.0
176160768,12820,46.0
177209344,7936,97.0
178257920,9523,51.0
179306496,17543,36.0
180355072,11235,67.0
181403648,15625,38.0
182452224,14925,41.0
183500800,15625,41.0
184549376,14925,42.0
185597952,17241,36.0
186646528,16666,38.0
187695104,17543,36.0
188743680,16949,38.0
189792256,15625,41.0
190840832,11363,59.0
191889408,14492,45.0
192937984,12987,45.0
193986560,17543,36.0
195035136,14084,45.0
196083712,16666,38.0
197132288,16129,40.0
198180864,15625,41.0
199229440,13333,48.0
200278016,16666,38.0
201326592,16949,36.0
202375168,16949,37.0
203423744,16129,40.0
204472320,17543,35.0
205520896,14925,44.0
206569472,15151,43.0
207618048,16666,38.0
208666624,18518,33.0
209715200,17857,36.0
210763776,16949,38.0
211812352,17241,37.0
212860928,9345,53.0
213909504,13333,51.0
214958080,12345,48.0
216006656,9009,54.0
217055232,15384,42.0
218103808,16666,37.0
219152384,15384,41.0
220200960,7575,91.0
221249536,10416,63.0
222298112,11363,55.0
223346688,12500,48.0
224395264,13513,45.0
225443840,13333,45.0
226492416,10000,53.0
227540992,10752,61.0
228589568,9009,73.0
229638144,10526,59.0
230686720,10989,56.0
231735296,10526,60.0
232783872,10204,62.0
233832448,8474,77.0
234881024,9900,59.0
235929600,6896,97.0
236978176,6944,91.0
238026752,10000,61.0
239075328,10416,57.0
240123904,10752,55.0
241172480,7812,85.0
242221056,6289,81.0
243269632,10526,58.0
244318208,6666,96.0
245366784,7407,79.0
246415360,9615,63.0
247463936,7812,70.0
248512512,9174,68.0
249561088,11363,51.0
250609664,9009,66.0
251658240,9900,62.0
252706816,9345,63.0
253755392,9174,65.0
254803968,6369,69.0
255852544,7042,62.0
256901120,6849,88.0
257949696,8064,76.0
258998272,7518,57.0
260046848,9259,69.0
261095424,10752,55.0
262144000,10989,51.0
