Write Buffer Size,ops_per_sec,micros_per_op
58720256,1768274,0.565
59768832,1570859,0.637
60817408,1788125,0.559
61865984,2085936,0.479
62914560,2404591,0.416
63963136,2300214,0.435
65011712,1642001,0.609
66060288,2131600,0.469
67108864,2161741,0.463
68157440,2067606,0.484
69206016,1839371,0.544
70254592,2416182,0.414
71303168,2186906,0.457
72351744,1810138,0.552
73400320,2155497,0.464
74448896,2361219,0.423
75497472,2545870,0.393
76546048,1932172,0.517
77594624,2236451,0.447
78643200,2459667,0.406
79691776,2114759,0.473
80740352,1925298,0.519
81788928,2252845,0.444
82837504,2177491,0.459
83886080,2013222,0.497
84934656,1907417,0.524
85983232,1753958,0.57
87031808,2253820,0.444
88080384,2346630,0.426
89128960,2068915,0.483
90177536,1987802,0.503
91226112,2208295,0.453
92274688,1966340,0.508
93323264,2023030,0.494
94371840,2195418,0.455
95420416,2363222,0.423
96468992,1915859,0.522
97517568,2010543,0.497
98566144,2208500,0.453
99614720,2147295,0.466
100663296,2018171,0.495
101711872,2064874,0.484
102760448,2111508,0.474
103809024,2487568,0.402
104857600,2054902,0.487
105906176,1881131,0.532
106954752,2011809,0.497
108003328,2094868,0.477
109051904,1503904,0.665
110100480,1813545,0.551
111149056,1342806,0.745
112197632,1632791,0.612
113246208,1823995,0.548
114294784,1673816,0.597
115343360,1553308,0.644
116391936,1786406,0.56
117440512,2077373,0.481
118489088,1630536,0.613
119537664,1824544,0.548
120586240,1755932,0.569
121634816,1764717,0.567
122683392,1583009,0.632
123731968,1861043,0.537
124780544,1871026,0.534
125829120,1721131,0.581
126877696,1682838,0.594
127926272,1296067,0.771
128974848,1397253,0.716
130023424,1861424,0.537
131072000,1889384,0.529
132120576,1575629,0.635
133169152,1744503,0.573
134217728,1777837,0.562
135266304,1840420,0.543
136314880,1962912,0.509
137363456,1971426,0.507
138412032,2177619,0.459
139460608,1955867,0.511
140509184,1820651,0.549
141557760,2345826,0.426
142606336,2235236,0.447
143654912,2088580,0.479
144703488,2246448,0.445
145752064,2059494,0.485
146800640,2268710,0.441
147849216,2119052,0.472
148897792,1900400,0.526
149946368,2162564,0.462
150994944,2067970,0.483
152043520,1969182,0.508
153092096,2034265,0.491
154140672,2239365,0.446
155189248,1936513,0.516
156237824,1781435,0.561
157286400,2299511,0.435
158334976,1978247,0.505
159383552,1495904,0.668
160432128,1937233,0.516
161480704,2414642,0.414
162529280,2039492,0.49
163577856,1889284,0.529
164626432,1805565,0.554
165675008,2196382,0.455
166723584,1956392,0.511
167772160,1861005,0.537
168820736,2293851,0.436
169869312,1861462,0.537
170917888,1724462,0.58
171966464,1659665,0.602
173015040,1704686,0.587
174063616,1675288,0.597
175112192,1824710,0.548
176160768,1903380,0.525
177209344,1661549,0.602
178257920,1519301,0.658
179306496,1858010,0.538
180355072,2392659,0.418
181403648,1969000,0.508
182452224,1761875,0.567
183500800,2050121,0.488
184549376,2165758,0.462
185597952,1916902,0.522
186646528,2074267,0.482
187695104,2127532,0.47
188743680,2022911,0.494
189792256,1755741,0.569
190840832,1987538,0.503
191889408,2322411,0.431
192937984,2040229,0.49
193986560,1924409,0.52
195035136,2111308,0.474
196083712,2409272,0.415
197132288,2005688,0.498
198180864,1965254,0.509
199229440,2117047,0.472
200278016,2337147,0.428
201326592,1950667,0.513
202375168,1905113,0.525
203423744,2131723,0.469
204472320,2268602,0.441
205520896,1969674,0.508
206569472,2133033,0.469
207618048,2309378,0.433
208666624,1944791,0.514
209715200,1978834,0.505
210763776,1904119,0.525
211812352,2194031,0.456
212860928,2130070,0.469
213909504,2103863,0.475
214958080,2066538,0.484
216006656,2349033,0.426
217055232,2035523,0.491
218103808,1668248,0.599
219152384,2100765,0.476
220200960,1478192,0.676
221249536,2112539,0.473
222298112,2119910,0.472
223346688,2276929,0.439
224395264,2225511,0.449
225443840,1960742,0.51
226492416,1900562,0.526
227540992,2091905,0.478
228589568,2282985,0.438
229638144,1971270,0.507
230686720,1931620,0.518
231735296,2372237,0.421
232783872,2311705,0.432
233832448,1872462,0.534
234881024,1781654,0.561
235929600,1984394,0.504
236978176,2174882,0.46
238026752,2071731,0.483
239075328,1914656,0.522
240123904,2061638,0.485
241172480,2314043,0.432
242221056,1960180,0.51
243269632,1868041,0.535
244318208,2284586,0.438
245366784,2297424,0.435
246415360,2221082,0.45
247463936,2083446,0.48
248512512,2358379,0.424
249561088,2183015,0.458
250609664,2032545,0.492
251658240,1753309,0.57
252706816,2082634,0.48
253755392,2473129,0.404
254803968,1962820,0.509
255852544,1927528,0.519
256901120,2299791,0.435
257949696,2495607,0.401
258998272,2175563,0.46
260046848,2055849,0.486
261095424,2387860,0.419
262144000,1263436,0.791
263192576,1103147,0.906
264241152,1590328,0.629
265289728,1729762,0.578
266338304,1929902,0.518
267386880,2244956,0.445
268435456,2121079,0.471
269484032,1756999,0.569
270532608,1779318,0.562
271581184,2172090,0.46
272629760,1907745,0.524
273678336,2151768,0.465
274726912,2069176,0.483
275775488,1966038,0.509
276824064,1545332,0.647
277872640,1855945,0.539
278921216,2047212,0.488
279969792,2087717,0.479
281018368,2081126,0.48
282066944,2029624,0.493
283115520,2084375,0.48
284164096,1940176,0.515
285212672,1837384,0.544
286261248,1920746,0.521
287309824,1934875,0.517
288358400,2116142,0.472
289406976,1943940,0.514
290455552,1947711,0.513
291504128,2099182,0.476
292552704,2244296,0.445
293601280,2265426,0.441
294649856,1900226,0.526
295698432,2036896,0.491
296747008,1927677,0.519
297795584,2073961,0.482
298844160,1866528,0.536
299892736,2229127,0.449
300941312,2340215,0.427
301989888,1964050,0.509
303038464,1760396,0.568
304087040,2114258,0.473
305135616,2198913,0.455
306184192,1900862,0.526
307232768,2160382,0.463
308281344,2200408,0.454
309329920,2273921,0.44
310378496,2026313,0.493
311427072,1885565,0.53
312475648,2266016,0.441
313524224,2089056,0.479
314572800,1964775,0.509
315621376,1825673,0.548
316669952,2162615,0.462
317718528,2126804,0.47
318767104,2123944,0.471
319815680,1921587,0.52
320864256,2009452,0.498
321912832,2048823,0.488
322961408,1745715,0.573
324009984,2102094,0.476
325058560,2206789,0.453
326107136,1922322,0.52
327155712,2131568,0.469
328204288,2085053,0.48
329252864,2324154,0.43
330301440,1920196,0.521
331350016,1930401,0.518
332398592,2258968,0.443
333447168,2307694,0.433
334495744,2136985,0.468
335544320,1977828,0.506
336592896,2360968,0.423
337641472,1672847,0.598
338690048,1845209,0.542
339738624,1918332,0.521
340787200,2054358,0.487
341835776,1991543,0.502
342884352,1814440,0.551
343932928,2109584,0.474
344981504,2220682,0.45
346030080,1927094,0.519
347078656,2186193,0.457
348127232,1727267,0.579
349175808,2023353,0.494
